Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-05 22:00:00,-0.04,-0.09,-125.0
2020-08-05 10:00:00,0.11,0.24,116.53
2020-11-04 11:00:00,0.27,0.32,20.47
2021-02-24 11:00:00,0.33,0.33,-0.98
2021-04-28 10:00:00,0.12,0.21,80.01
2021-07-28 10:00:00,0.24,0.31,30.2
2021-10-27 10:00:00,0.19,0.2,6.06
2022-02-23 11:00:00,0.28,0.04,-85.62
2022-04-27 10:00:00,-0.16,-0.08,51.44
2022-08-03 09:00:00,0.1,0.1,4.7
2022-10-26 09:00:00,0.21,0.23,12.14
2023-02-22 10:00:00,0.31,0.28,-10.47
2023-04-26 09:00:00,0.16,0.24,46.63
2023-08-02 09:00:00,0.29,0.46,59.38
2023-10-25 09:00:00,0.44,0.52,18.35
2024-02-21 10:00:00,0.53,0.56,4.73
2024-04-24 09:00:00,0.36,0.43,19.82
2024-07-24 10:00:00,0.57,0.67,17.03
2024-10-23 09:00:00,0.69,0.76,10.19
2025-02-12 10:00:00,0.82,0.99,20.6
2025-04-23 09:00:00,0.62,0.64,3.92
2025-07-30 09:00:00,0.71,0.83,16.92
2025-10-22 09:00:00,0.99,1.24,25.02
2026-02-11 10:00:00,1.3,1.36,4.9
