EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-01 07:00:00-05:00,2.08,2.33,11.81
2022-06-07 07:00:00-04:00,1.89,2.23,18.19
2022-08-23 07:00:00-04:00,1.27,1.67,31.68
2022-11-21 07:00:00-05:00,2.19,2.4,9.46
2023-02-28 07:00:00-05:00,2.13,2.21,3.74
2023-06-06 07:00:00-04:00,2.41,2.64,9.33
2023-08-29 07:00:00-04:00,2.04,2.21,8.17
2023-12-05 07:00:00-05:00,2.47,2.59,4.81
2024-02-27 07:00:00-05:00,2.27,2.48,9.19
2024-06-06 07:00:00-04:00,2.33,2.66,13.97
2024-08-28 07:00:00-04:00,2.17,2.44,12.24
2024-11-26 07:00:00-05:00,2.51,2.76,10.17
2025-02-27 07:00:00-05:00,2.37,2.61,10.34
2025-06-10 07:00:00-04:00,2.25,2.31,2.8
2025-08-27 07:00:00-04:00,1.93,1.9,-1.36
2025-11-25 08:00:00-05:00,2.1,,
