EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-16 06:00:00-05:00,0.73,0.72,-1.82
2022-05-03 06:00:00-04:00,0.66,0.71,7.83
2022-07-27 06:00:00-04:00,1.05,1.29,23.37
2022-10-26 06:00:00-04:00,1.24,1.31,5.58
2023-02-09 06:00:00-05:00,1.22,1.59,30.12
2023-04-26 06:00:00-04:00,1.14,1.24,9.15
2023-07-26 06:00:00-04:00,1.58,1.63,3.21
2023-10-25 06:00:00-04:00,1.66,1.67,0.35
2024-02-07 06:00:00-05:00,1.57,1.68,7.09
2024-04-24 06:00:00-04:00,1.42,1.53,7.96
2024-08-07 06:00:00-04:00,1.86,1.91,2.64
2024-10-23 06:00:00-04:00,1.84,1.92,4.25
2025-02-06 06:00:00-05:00,1.68,1.76,4.48
2025-04-29 06:00:00-04:00,1.56,1.23,-21.26
2025-07-23 06:00:00-04:00,2.04,2.2,7.62
2025-10-22 06:00:00-04:00,1.88,1.78,-5.16
