EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-16 07:00:00-05:00,0.98,1.07,8.87
2021-05-04 07:00:00-04:00,0.46,0.69,51.58
2021-08-04 07:00:00-04:00,1.65,1.57,-5.04
2021-11-04 07:00:00-04:00,1.65,1.54,-6.44
2022-02-16 07:00:00-05:00,1.17,1.25,6.68
2022-05-04 07:00:00-04:00,0.63,0.73,15.79
2022-08-04 07:00:00-04:00,1.65,1.53,-7.43
2022-11-02 07:00:00-04:00,1.71,1.78,3.8
2023-02-16 07:00:00-05:00,1.26,1.08,-14.51
2023-05-04 07:00:00-04:00,0.62,0.95,53.5
2023-08-03 07:00:00-04:00,1.92,2.29,19.57
2023-10-26 07:00:00-04:00,2.23,2.29,2.72
2024-02-16 07:00:00-05:00,1.4,1.46,4.35
2024-05-02 07:00:00-04:00,0.77,0.8,4.41
2024-08-06 07:00:00-04:00,2.49,2.35,-5.78
2024-10-30 07:00:00-04:00,2.31,2.22,-4.06
2025-02-18 07:00:00-05:00,1.75,2.17,23.66
2025-04-30 06:00:00-04:00,0.76,1.0,31.63
2025-07-31 07:00:00-04:00,2.52,2.45,-2.82
2025-10-30 07:00:00-04:00,2.72,2.84,4.45
